"Cal Maritime","Vallejo","200 Maritime Academy Drive, Vallejo, CA 94590"
"Cal Poly Pomona","Pomona","3801 West Temple Avenue, Pomona, CA 91768"
"Cal Poly San Luis Obispo","San Luis Obispo","1 Grand Avenue, San Luis Obispo, CA 93407"
"CSU Bakersfield","Bakersfield","9001 Stockdale Highway, Bakersfield, CA 93311"
"CSU Channel Islands","Camarillo","1 University Drive, Camarillo, CA 93012"
"CSU Chico","Chico","400 West First Street, Chico, CA 95929"
"CSU Dominguez Hills","Carson","1000 East Victoria Street, Carson, CA 90747"
"CSU East Bay","Hayward","25800 Carlos Bee Boulevard, Hayward, CA 94542"
"CSU Fresno","Fresno","5150 North Maple Avenue, Fresno, CA 93740"
"CSU Fullerton","Fullerton","800 North State College Boulevard, Fullerton, CA 92831"
"CSU Long Beach","Long Beach","1250 Bellflower Boulevard, Long Beach, CA 90840"
"CSU Los Angeles","Los Angeles","5151 State University Drive, Los Angeles, CA 90032"
"CSU Monterey Bay","Seaside","100 Campus Center, Seaside, CA 93955"
"CSU Northridge","Northridge","18111 Nordhoff Street, Northridge, CA 91330"
"CSU Sacramento","Sacramento","6000 J Street, Sacramento, CA 95819"
"CSU San Bernardino","San Bernardino","5500 University Parkway, San Bernardino, CA 92407"
"CSU San Marcos","San Marcos","333 S. Twin Oaks Valley Road, San Marcos, CA 92096"
"CSU Stanislaus","Turlock","1 University Circle, Turlock, CA 95382"
"Humboldt State University","Arcata","1 Harpst Street, Arcata, CA 95521"
"San Diego State University","San Diego","5500 Campanile Drive, San Diego, CA 92182"
"San Francisco State University","San Francisco","1600 Holloway Avenue, San Francisco, CA 94132"
"San Jose State University","San Jose","1 Washington Square, San Jose, CA 95192"
"Sonoma State University","Rohnert Park","1801 East Cotati Avenue, Rohnert Park, CA 94928"
