"10A","Window","Economy"
"10B","Center","Economy"
"10C","Aisle","Economy"
"10D","Aisle","Economy"
"10E","Center","Economy"
"10F","Window","Economy"
"11A","Window","Economy"
"11B","Center","Economy"
"11C","Aisle","Economy"
"11D","Aisle","Economy"
"11E","Center","Economy"
"11F","Window","Economy"
"12A","Window","Economy"
"12B","Center","Economy"
"12C","Aisle","Economy"
"12D","Aisle","Economy"
"12E","Center","Economy"
"12F","Window","Economy"
"13A","Window","Economy"
"13B","Center","Economy"
"13C","Aisle","Economy"
"13D","Aisle","Economy"
"13E","Center","Economy"
"13F","Window","Economy"
"14A","Window","Economy"
"14B","Center","Economy"
"14C","Aisle","Economy"
"14D","Aisle","Economy"
"14E","Center","Economy"
"14F","Window","Economy"
"15A","Window","Economy"
"15B","Center","Economy"
"15C","Aisle","Economy"
"15D","Aisle","Economy"
"15E","Center","Economy"
"15F","Window","Economy"
"16A","Window","Economy"
"16B","Center","Economy"
"16C","Aisle","Economy"
"16D","Aisle","Economy"
"16E","Center","Economy"
"16F","Window","Economy"
"17A","Window","Economy"
"17B","Center","Economy"
"17C","Aisle","Economy"
"17D","Aisle","Economy"
"17E","Center","Economy"
"17F","Window","Economy"
"18A","Window","Economy"
"18B","Center","Economy"
"18C","Aisle","Economy"
"18D","Aisle","Economy"
"18E","Center","Economy"
"18F","Window","Economy"
"19A","Window","Economy"
"19B","Center","Economy"
"19C","Aisle","Economy"
"19D","Aisle","Economy"
"19E","Center","Economy"
"19F","Window","Economy"
"1A","Window","First"
"1B","Aisle","First"
"1C","Aisle","First"
"1D","Window","First"
"2A","Window","First"
"2B","Aisle","First"
"2C","Aisle","First"
"2D","Window","First"
